[2025-03-18 17:59:47] User ID: 7404196608, Action: Перешёл к выбору здания
[2025-03-18 17:59:49] User ID: 7404196608, Action: Перешёл к выбору здания
[2025-03-18 17:59:50] User ID: 7404196608, Action: Перешёл к выбору здания
[2025-03-18 17:59:54] User ID: 7404196608, Action: Перешёл к выбору здания
[2025-03-18 18:39:19] User ID: 6315122718, Action: Вызвана команда /start
[2025-03-18 18:39:19] User ID: 6315122718, Action: Вызвана команда /start
[2025-03-18 18:39:19] User ID: 6315122718, Action: Вызвана команда /start
[2025-03-18 18:39:19] User ID: 6315122718, Action: Вызвана команда /start
[2025-03-18 18:39:19] User ID: 6315122718, Action: Вызвана команда /start
[2025-03-18 18:39:19] User ID: 6315122718, Action: Вызвана команда /start
[2025-03-18 18:39:19] User ID: 6315122718, Action: Вызвана команда /start
[2025-03-18 18:39:19] User ID: 6315122718, Action: Вызвана команда /start
[2025-03-18 18:39:19] User ID: 6315122718, Action: Вызвана команда /start
[2025-03-18 18:39:19] User ID: 6315122718, Action: Вызвана команда /start
[2025-03-18 18:39:20] User ID: 7404196608, Action: Вызвана команда /start
[2025-03-18 18:39:20] User ID: 7404196608, Action: Вызвана команда /start
[2025-03-18 18:39:20] User ID: 7404196608, Action: Вызвана команда /start
[2025-03-18 18:39:20] User ID: 7404196608, Action: Вызвана команда /start
[2025-03-18 18:39:20] User ID: 7404196608, Action: Вызвана команда /start
[2025-03-18 18:39:20] User ID: 7404196608, Action: Вызвана команда /start
[2025-03-18 18:39:20] User ID: 7404196608, Action: Вызвана команда /start
[2025-03-18 18:39:20] User ID: 7404196608, Action: Вызвана команда /start
[2025-03-18 18:39:20] User ID: 7404196608, Action: Вызвана команда /start
[2025-03-18 18:39:20] User ID: 7404196608, Action: Вызвана команда /start
[2025-03-18 18:39:20] User ID: 6315122718, Action: Вызвана команда /start
[2025-03-18 18:39:20] User ID: 6315122718, Action: Вызвана команда /start
[2025-03-18 18:39:21] User ID: 6315122718, Action: Вызвана команда /start
[2025-03-18 18:39:21] User ID: 6315122718, Action: Вызвана команда /start
[2025-03-18 18:39:21] User ID: 6315122718, Action: Вызвана команда /start
[2025-03-18 18:39:21] User ID: 6315122718, Action: Вызвана команда /start
[2025-03-18 18:39:21] User ID: 6315122718, Action: Вызвана команда /start
[2025-03-18 18:39:21] User ID: 6315122718, Action: Вызвана команда /start
[2025-03-18 18:39:21] User ID: 6315122718, Action: Вызвана команда /start
[2025-03-18 18:39:21] User ID: 6315122718, Action: Вызвана команда /start
[2025-03-18 18:39:21] User ID: 7404196608, Action: Вызвана команда /start
[2025-03-18 18:39:21] User ID: 6315122718, Action: Вызвана команда /start
[2025-03-18 18:39:22] User ID: 7404196608, Action: Вызвана команда /start
[2025-03-18 18:39:22] User ID: 7404196608, Action: Вызвана команда /start
[2025-03-18 18:39:34] User ID: 6315122718, Action: Перешёл к выбору здания
[2025-03-18 18:39:35] User ID: 6315122718, Action: Выбрал здание: Videosecurity
[2025-03-18 18:39:36] User ID: 6315122718, Action: Выбрал переговорную: Silver
[2025-03-18 18:39:38] User ID: 6315122718, Action: Перешёл к выбору здания
[2025-03-18 18:39:39] User ID: 8081159733, Action: Вызвана команда /start
[2025-03-18 18:39:40] User ID: 6315122718, Action: Нажал кнопку 'Отменить бронь'
[2025-03-18 18:39:54] User ID: 7404196608, Action: Нажал кнопку 'Отменить бронь'
[2025-03-18 18:39:56] User ID: 7404196608, Action: Отменил бронь на Silver в 16:30
[2025-03-18 18:39:57] User ID: 8081159733, Action: Вызвана команда /start
[2025-03-18 18:39:58] User ID: 7404196608, Action: Нажал кнопку 'Отменить бронь'
[2025-03-18 18:39:59] User ID: 7404196608, Action: Отменил бронь на Silver в 08:30
[2025-03-18 18:40:00] User ID: 8081159733, Action: Вызвана команда /start
[2025-03-18 18:40:09] User ID: 7404196608, Action: Вызвана команда /start
[2025-03-18 18:40:12] User ID: 7404196608, Action: Перешёл к выбору здания
[2025-03-18 18:40:13] User ID: 7404196608, Action: Выбрал здание: Videosecurity
[2025-03-18 18:40:15] User ID: 7404196608, Action: Выбрал переговорную: Silver
[2025-03-18 18:40:19] User ID: 7404196608, Action: Выбрал время начала 10:00 для Silver
[2025-03-18 18:40:22] User ID: 7404196608, Action: Выбрал длительность 2 ч для Silver, с 10:00
[2025-03-18 18:40:23] User ID: 8081159733, Action: Вызвана команда /start
[2025-03-18 18:40:24] User ID: 7404196608, Action: Перешёл к выбору здания
[2025-03-18 18:40:25] User ID: 7404196608, Action: Выбрал здание: Videosecurity
[2025-03-18 18:40:26] User ID: 7404196608, Action: Выбрал переговорную: Silver
[2025-03-18 18:40:31] User ID: 7404196608, Action: Выбрал время начала 09:30 для Silver
